"id","name","current","internetOpen","distance","matchedName","changed"
"6","南京信息工程大学图书馆","08:00-22:00","08:00-22:00","0.000000","南京信息工程大学图书馆","False"
"7","南京信息工程大学大学生活动中心","08:00-22:00","","","","False"
"8","南京信息工程大学大学生活动中心小剧场","09:00-21:00","","","","False"
"9","南京信息工程大学大礼堂","08:00-21:00","","","","False"
"10","南京信息工程大学东苑体育馆","06:30-22:00","","","","False"
"11","南京信息工程大学东苑田径场","06:00-22:00","","","","False"
"12","南京信息工程大学风云赛场","06:00-22:00","","","","False"
"13","南京信息工程大学-中苑主田径场","06:00-22:00","","","","False"
"14","南京信息工程大学西苑操场","06:00-22:00","","","","False"
"15","南京信息工程大学信息科技大楼","08:00-22:00","","","","False"
"16","南京信息工程大学培训楼","08:00-21:30","","","","False"
"17","南京信息工程大学亚培楼","08:00-22:00","","","","False"
"18","南京信息工程大学文德楼南区","08:00-22:00","","","","False"
"19","南京信息工程大学自动化学院","08:00-22:00","","","","False"
"20","南京信息工程大学环境科学与工程学院","08:00-22:00","","","","False"
"21","南京信息工程大学电子信息工程学院","08:00-22:00","","","","False"
"22","南京信息工程大学地理与遥感学院","08:00-22:00","","","","False"
"23","南京信息工程大学海洋科学学院","08:00-22:00","","","","False"
"24","南京信息工程大学-大气科学学院","08:00-22:00","","","","False"
"25","南京信息工程大学商学院","08:00-22:00","","","","False"
"26","南京信息工程大学-艺术学院","08:00-22:00","","","","False"
"27","南京信息工程大学食堂","06:30-23:00","06:30-23:00","0.000000","南京信息工程大学食堂","False"
"28","南京信息工程大学西苑新食堂","07:00-21:00","07:00-21:00","0.000000","南京信息工程大学西苑新食堂","False"
"29","南京信息工程大学-教职工食堂","10:00-22:00","10:00-22:00","0.000000","南京信息工程大学-教职工食堂","False"
"30","南京信息工程大学中苑老食堂","06:30-21:00","","","","False"
"31","中苑新食堂","07:00-21:00","07:30-18:30","0.000000","中苑新食堂","True"
"32","南京信息工程大学信息中心","08:00-17:30","","","","False"
"33","南京信息工程大学现代教育技术中心","08:00-17:30","","","","False"
"34","南京信息工程大学学生事务与发展中心","08:00-17:30","","","","False"
"35","南京信息工程大学-地理科学学院","08:00-22:00","","","","False"
"36","南京信息工程大学软件工程与信息服务实践教育中心","08:00-17:30","","","","False"
"37","南京信息工程大学江苏省技术转移中心","08:00-17:30","","","","False"
"38","南京信息工程大学互联网工程实践教育中心","08:00-17:30","","","","False"
"39","南京信息工程大学长望学院","08:00-22:00","","","","False"
"40","南京信息工程大学生态研究院","08:00-18:00","","","","False"
"41","南京信息工程大学应急管理学院","08:00-22:00","","","","False"
"42","南京信息工程大学集成电路学院","08:00-22:00","","","","False"
"43","南京信息工程大学遥感学院","08:00-22:00","","","","False"
"44","南京信息工程大学遥感与测绘工程学院","08:00-22:00","","","","False"
"45","南京信息工程大学数学与统计学院","08:00-22:00","","","","False"
"46","南京信息工程大学物理与光电工程学院","08:00-22:00","","","","False"
"47","南京信息工程大学中苑教职工活动中心","00:00-24:00","","","","False"
"48","南京信息工程大学-化学与材料学院","08:00-22:00","","","","False"
"49","南京信息工程大学气候变化与公共政策研究院","08:00-18:00","","","","False"
"50","南京信息工程大学维世德法律研究院","08:00-18:00","","","","False"
"51","南京信息工程大学(中苑)-大学生体质测试中心","06:00-22:00","","","","False"
"52","南京信息工程大学语言文化学院","08:00-22:00","","","","False"
"53","南京信息工程大学水文与水资源工程学院","08:00-22:00","","","","False"
"54","南京信息工程大学","08:00-20:00","","","","False"
"55","南京信息工程大学应用技术学院","08:00-22:00","","","","False"
"56","南京信息工程大学气候与气象灾害协同创新中心","08:00-17:30","","","","False"
"57","南京信息工程大学校史馆","08:00-20:00","","","","False"
"58","南京信息工程大学院士林","08:00-22:00","","","","False"
"59","南京信息工程大学研究生公寓","00:00-24:00","","","","False"
"60","南京信息工程大学科技产业处","08:00-17:30","","","","False"
"61","南京信息工程大学信息化建设与管理处","08:00-17:30","","","","False"
"62","南京信息工程大学沃特福德学院","08:00-22:00","","","","False"
"63","南京信息工程大学总务处","08:00-17:30","","","","False"
