"id","name","current","matchedOpen","score","matchedName","matchedLoc"
"6","南京信息工程大学图书馆","08:00-22:00","08:00-22:00","140","南京信息工程大学图书馆","118.713497,32.203020"
"7","南京信息工程大学大学生活动中心","08:00-22:00","","0","",""
"8","南京信息工程大学大学生活动中心小剧场","09:00-21:00","","0","",""
"9","南京信息工程大学大礼堂","08:00-21:00","","0","",""
"10","南京信息工程大学东苑体育馆","06:30-22:00","","0","",""
"11","南京信息工程大学东苑田径场","06:00-22:00","","0","",""
"12","南京信息工程大学风云赛场","06:00-22:00","","0","",""
"13","南京信息工程大学-中苑主田径场","06:00-22:00","","0","",""
"14","南京信息工程大学西苑操场","06:00-22:00","","0","",""
"15","南京信息工程大学信息科技大楼","08:00-22:00","","0","",""
"16","南京信息工程大学培训楼","08:00-21:30","24小时营业","30","新东方(南京信息工程大学咨询点)","118.716809,32.202084"
"17","南京信息工程大学亚培楼","08:00-22:00","","0","",""
"18","南京信息工程大学文德楼南区","08:00-22:00","09:00-20:00","60","菜鸟驿站(盘锦花园店)","118.720909,32.202874"
"19","南京信息工程大学自动化学院","08:00-22:00","","0","",""
"20","南京信息工程大学环境科学与工程学院","08:00-22:00","","0","",""
"21","南京信息工程大学电子信息工程学院","08:00-22:00","","0","",""
"22","南京信息工程大学地理与遥感学院","08:00-22:00","","0","",""
"23","南京信息工程大学海洋科学学院","08:00-22:00","","0","",""
"24","南京信息工程大学-大气科学学院","08:00-22:00","","0","",""
"25","南京信息工程大学商学院","08:00-22:00","","0","",""
"26","南京信息工程大学-艺术学院","08:00-22:00","","0","",""
"27","南京信息工程大学食堂","06:30-23:00","","0","",""
"28","南京信息工程大学西苑新食堂","07:00-21:00","","0","",""
"29","南京信息工程大学-教职工食堂","10:00-22:00","","0","",""
"30","南京信息工程大学中苑老食堂","06:30-21:00","07:30-18:30","60","中苑新食堂","118.714079,32.200491"
"31","中苑新食堂","07:00-21:00","07:30-18:30","140","中苑新食堂","118.714079,32.200491"
"32","南京信息工程大学信息中心","08:00-17:30","","0","",""
"33","南京信息工程大学现代教育技术中心","08:00-17:30","","0","",""
"34","南京信息工程大学学生事务与发展中心","08:00-17:30","","0","",""
"35","南京信息工程大学-地理科学学院","08:00-22:00","","0","",""
"36","南京信息工程大学软件工程与信息服务实践教育中心","08:00-17:30","","0","",""
"37","南京信息工程大学江苏省技术转移中心","08:00-17:30","","0","",""
"38","南京信息工程大学互联网工程实践教育中心","08:00-17:30","","0","",""
"39","南京信息工程大学长望学院","08:00-22:00","","0","",""
"40","南京信息工程大学生态研究院","08:00-18:00","","0","",""
"41","南京信息工程大学应急管理学院","08:00-22:00","","0","",""
"42","南京信息工程大学集成电路学院","08:00-22:00","","0","",""
"43","南京信息工程大学遥感学院","08:00-22:00","","0","",""
"44","南京信息工程大学遥感与测绘工程学院","08:00-22:00","","0","",""
"45","南京信息工程大学数学与统计学院","08:00-22:00","","0","",""
"46","南京信息工程大学物理与光电工程学院","08:00-22:00","","0","",""
"47","南京信息工程大学中苑教职工活动中心","00:00-24:00","","0","",""
"48","南京信息工程大学-化学与材料学院","08:00-22:00","","0","",""
"49","南京信息工程大学气候变化与公共政策研究院","08:00-18:00","","0","",""
"50","南京信息工程大学维世德法律研究院","08:00-18:00","","0","",""
"51","南京信息工程大学(中苑)-大学生体质测试中心","06:00-22:00","","0","",""
"52","南京信息工程大学语言文化学院","08:00-22:00","","0","",""
"53","南京信息工程大学水文与水资源工程学院","08:00-22:00","","0","",""
"54","南京信息工程大学","08:00-20:00","","0","",""
"55","南京信息工程大学应用技术学院","08:00-22:00","","0","",""
"56","南京信息工程大学气候与气象灾害协同创新中心","08:00-17:30","","0","",""
"57","南京信息工程大学校史馆","08:00-20:00","","0","",""
"58","南京信息工程大学院士林","08:00-22:00","","0","",""
"59","南京信息工程大学研究生公寓","00:00-24:00","","0","",""
"60","南京信息工程大学科技产业处","08:00-17:30","","0","",""
"61","南京信息工程大学信息化建设与管理处","08:00-17:30","","0","",""
"62","南京信息工程大学沃特福德学院","08:00-22:00","","0","",""
"63","南京信息工程大学总务处","08:00-17:30","","0","",""
